id,status,outer_qty,inner_qty,common_unit,item_name,pack_string,vendor,sku,parsed_pack,override_values
332d6812-c892-45a4-bde8-23f98fae5512,approved,18,12,oz,Michelob Ultra 12oz Cans,MICH ULT 18/12 NR,heimark,11408,,
0d475574-5562-4eba-884b-79f5ad320d9c,approved,6,4,ea,Porch Pounder Chardonnay Cans,PORCH CHRDN 6/4CN,heimark,59789,,
d63803d7-64fc-4d31-b02a-b2643a8b022d,approved,24,11,oz,Stella Artois 11.2oz Cans,STELLA 24/11.2 LOOSE,heimark,37745,,
31759266-6547-4489-b6ad-43bc59c1ddd8,approved,16,1,ea,(NEW) Tiramisu,16/3.5OZ,pfg,1066631,,
62dcc301-73ed-4d3c-8467-7bac3015781f,approved,6,50,ea,(NEW) Large Salad Bowls,6/50CT,pfg,796943,,
a4687cf8-4b76-40ac-97c4-33938495ba1b,approved,6,1,lb,(NEW) Sliced Proscuitto,6/1LB,pfg,330211,,
46b11b5b-229c-43c3-b219-9a7227afeeb3,approved,10,100,ea,(NEW) Cold Cup Lids,10/100 CT,pfg,603923,,
828c5069-ce7a-4cd9-a6d9-9216d3862abb,approved,6,50,ea,(NEW) Small Salad Bowls,6/50CT,pfg,727122,,
53132339-70de-475f-85fe-32daeae1c52f,approved,4,75,ea,(NEW) Salad Bowl Lids,4/75CT,pfg,1019741,,
0f4d6d77-65a8-4a2d-99d9-77b7ab078cb5,approved,1,5,gal,Diet Coke BIB 5g,1/5GA,pfg,28969,,
8d8af141-543a-42c3-85b0-d07314894cb6,approved,1,5,ga,Coke Zero BIB 5g,1/5GA,pfg,883022,,
30b3e14f-1bb8-4b5b-af84-d9a84969e958,approved,12,3,lb,Sea Salt,12/3LB,pfg,104752,,
8b170170-1b5e-44f9-aceb-0871d316f854,approved,2,1000,ea,Prep N Print Label Roll,2/1000CT,pfg,597673,,
603ad17e-5317-4e36-8438-8e8fc5a8062e,approved,24,16,oz,Monster Energy Drink 16oz,24/16OZ,pfg,245725,,
92d59b0c-75bf-4791-990b-dcb43dde87df,approved,25,40,ea,24 oz Coke Branded Cups,25/40CT,pfg,849681,,
54143d9f-341e-40ca-bb81-a044cc74bbe0,approved,16,3.5,oz,(NEW) Tiramisu,16/3.5OZ,pfg,1066631,,
da35887c-6791-4cab-91e1-a593e8c1b7c5,approved,24,20,ea,Coke Bottle 20z,24/20OZ,pfg,532033,,
393ea638-2b2a-4bf6-be0c-20cb10e951ae,approved,1,5,gal,Sprite BIB 5g,1/5GA,pfg,2204,,
604e5749-e79f-4a9c-be16-7f81705c1409,approved,24,12,oz,Mexican Coke 12oz,24/12OZ,pfg,249358,,
8548d331-50cf-4c8b-b844-571eedd7b870,approved,2,75,ea,Entree Salad Container,2/75CT,pfg,803773,,
cab60189-9c18-4326-bd72-50299f70d603,approved,1,1,ea,Dispenser Sani Wipes,1/1CT,pfg,585164,,
1d5f96f8-da77-4cae-b59a-6d657dfb6d77,approved,24,20,oz,Sprite Bottle 20oz,24/20OZ,pfg,53034,,
384512f7-4bd4-41bd-bb23-efba59aa1623,approved,2,5,lb,Salami,2/5LB,pfg,408360,,
ec868a91-54d6-427b-abd9-95ac1e025f72,approved,1,450,ea,Meatball Bucket,1/450CT,pfg,851425,,
3c1c4bf4-1f33-4bc2-82f5-5a29c98c49af,approved,1,2.5,ga,Barqs Rootbeer BIB 2.5g,1/2.5GA,pfg,662001,,
1517e95d-e8d2-472b-8ef9-0f34fd0702f5,approved,1,5,ga,Cherry Coke BIB 5g,1/5GA,pfg,26877,,
12e41d3f-e6ec-4fc0-b248-2f2e9499f43c,approved,1,2.5,ga,Dr Pepper BIB 2.5g,1/2.5GA,pfg,488067,,
1816d086-83e6-4cca-9525-f3a438720a76,approved,1,1000,ea,(NEW) Plastic Spoons,1000/1CT,pfg,1002342,,
18f1d43a-0d3a-470c-ad37-2e3388973163,approved,24,8.4,oz,Red Bull 8.4oz,24/8.4OZ,pfg,355368,,
a52622a1-e8ce-408f-a2f0-3e19170486c7,approved,24,330,ml,Orange Pellegrino 11.2oz,24/330ML,pfg,803286,,
8a189711-bc8f-441b-8d89-1fe19338f807,approved,4,2,kg,Kalamata Olives,4/2KG,pfg,686856,,
8df315c1-b65f-4f11-88aa-4081dfc18225,approved,1,200,ea,1/2 Pizza Boxes,1/200 CT,pfg,848524,,
63850819-6570-4158-90e0-a38459357435,approved,200,4,g,Parmesan Packets,200/3.5GM,pfg,232186,,
46dab69c-571e-499d-b00b-d37a4405ad8b,approved,500,1,g,Red Pepper Packets,500/1GM,pfg,231628,,
6fe43c58-d4b2-4351-ba32-a55a887bc11c,approved,24,1,l,Water Bottle 16.9oz,24/.5 LT,pfg,289178,,
ac597ebc-5bd9-43b2-ab4f-767e5ec545c1,approved,6,1,ea,Artichokes,6/2.5KG,pfg,180950,,
8a866d9e-3a72-4abe-82e1-8cdc4fe75d5c,approved,1,100,ea,"11"" Blaze Pizza Boxes",1/100 CT,pfg,848494,,
bef97798-04bb-491f-9d6a-76fc059c52d3,approved,1,4,lb,Arugula,1/4 LB,produce_alliance,5000,,
1a7a7860-1b79-4fed-bcd1-aedc455fc07f,approved,1,1,ea,Handle Replacement,1/1CT,pfg,312381,,
8e2a2b14-4405-48e4-bf7d-98a6f04bfc58,approved,1,5,ga,Fanta Orange BIB 5g,1/5GA,pfg,964693,,
